Tipo;Ano;Valor
Alimentação;2015;7207.449999999998
C&L;2015;44022.560000000005
Consultorias;2015;11800.0
Correios;2015;1109.69
Divulgação;2015;165993.33000000002
Escritório;2015;6911.889999999999
Hospedagem;2015;8029.87
Locação de Carro;2015;16739.55
Passagens Aéreas;2015;173054.24999999994
S/D;2015;13500.0
Telefonia;2015;15227.79
Alimentação;2016;3505.230000000001
C&L;2016;49546.45
Correios;2016;3808.460000000002
Divulgação;2016;310900.0
Escritório;2016;11112.060000000001
Hospedagem;2016;10765.089999999998
Locação de Carro;2016;66982.63
Passagens Aéreas;2016;200279.45000000033
S/D;2016;17471.070000000003
Taxi;2016;738.28
Telefonia;2016;17552.879999999994
Alimentação;2017;926.06
C&L;2017;50002.26999999999
Consultorias;2017;600.0
Correios;2017;2782.8199999999997
Divulgação;2017;240720.0
Escritório;2017;10103.0
Hospedagem;2017;10439.169999999998
Locação de Carro;2017;95346.42999999995
Passagens Aéreas;2017;218674.2300000001
S/D;2017;11250.0
Telefonia;2017;10136.110000000004
